game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary
717189,2023-07-31T22:40:00Z,2023-07-31,R,Scheduled,Philadelphia Phillies,Miami Marlins,143,146,N,1,Edward Cabrera,Taijuan Walker,,,0,0,,,4169,loanDepot park,[],,2023-07-31 - Philadelphia Phillies @ Miami Marlins (Scheduled)
717185,2023-07-31T23:05:00Z,2023-07-31,R,Scheduled,Tampa Bay Rays,New York Yankees,139,147,N,1,Domingo German,Tyler Glasnow,,,0,0,,,3313,Yankee Stadium,['MLBN (out-of-market only)'],,2023-07-31 - Tampa Bay Rays @ New York Yankees (Scheduled)
717192,2023-07-31T23:05:00Z,2023-07-31,R,Scheduled,Milwaukee Brewers,Washington Nationals,158,120,N,1,Jake Irvin,Corbin Burnes,,,0,0,,,3309,Nationals Park,[],,2023-07-31 - Milwaukee Brewers @ Washington Nationals (Scheduled)
717186,2023-07-31T23:07:00Z,2023-07-31,R,Scheduled,Baltimore Orioles,Toronto Blue Jays,110,141,N,1,Chris Bassitt,Kyle Gibson,,,0,0,,,14,Rogers Centre,"['MLBN (out-of-market only)', 'MLB.tv Free Game']",,2023-07-31 - Baltimore Orioles @ Toronto Blue Jays (Scheduled)
717187,2023-07-31T23:20:00Z,2023-07-31,R,Pre-Game,Los Angeles Angels,Atlanta Braves,108,144,N,1,Charlie Morton,Griffin Canning,,,0,0,,,4705,Truist Park,[],,2023-07-31 - Los Angeles Angels @ Atlanta Braves (Pre-Game)
717188,2023-08-01T00:05:00Z,2023-07-31,R,Pre-Game,Cincinnati Reds,Chicago Cubs,113,112,N,1,Marcus Stroman,Andrew Abbott,,,0,0,,,17,Wrigley Field,[],,2023-07-31 - Cincinnati Reds @ Chicago Cubs (Pre-Game)
717184,2023-08-01T00:10:00Z,2023-07-31,R,Scheduled,Cleveland Guardians,Houston Astros,114,117,N,1,J.P. France,Noah Syndergaard,,,0,0,,,2392,Minute Maid Park,[],,2023-07-31 - Cleveland Guardians @ Houston Astros (Scheduled)
717179,2023-08-01T00:40:00Z,2023-07-31,R,Scheduled,San Diego Padres,Colorado Rockies,135,115,N,1,Austin Gomber,Seth Lugo,,,0,0,,,19,Coors Field,[],,2023-07-31 - San Diego Padres @ Colorado Rockies (Scheduled)
717181,2023-08-01T01:40:00Z,2023-07-31,R,Scheduled,Boston Red Sox,Seattle Mariners,111,136,N,1,George Kirby,Nick Pivetta,,,0,0,,,680,T-Mobile Park,[],,2023-07-31 - Boston Red Sox @ Seattle Mariners (Scheduled)
717190,2023-08-01T01:45:00Z,2023-07-31,R,Scheduled,Arizona Diamondbacks,San Francisco Giants,109,137,N,1,,Ryne Nelson,,,0,0,,,2395,Oracle Park,[],,2023-07-31 - Arizona Diamondbacks @ San Francisco Giants (Scheduled)
